New Haven,CT,69233,1891,
New London,CT,18635,403,
Tolland,CT,7612,159,
Windham,CT,9028,176,
District of Columbia,DC,39461,993,
Kent,DE,13956,281,
New Castle,DE,47842,644,
Sussex,DE,22195,418,
Alachua,FL,22062,206,
Baker,FL,3252,54,
Bay,FL,18169,329,
Bradford,FL,2803,49,
Brevard,FL,32675,721,
Broward,FL,188216,2310,
Calhoun,FL,1598,39,
Charlotte,FL,10450,345,
Citrus,FL,9509,380,
Clay,FL,16462,297,
Collier,FL,29560,440,
Columbia,FL,7571,149,
DeSoto,FL,3652,72,
Dixie,FL,1454,18,
Duval,FL,87272,1075,
Escambia,FL,33047,607,
Flagler,FL,5742,86,
Franklin,FL,1273,13,
Gadsden,FL,5364,80,
Gilchrist,FL,1383,31,
Glades,FL,892,15,
Gulf,FL,1836,35,
Hamilton,FL,1551,21,
Hardee,FL,2749,28,
Hendry,FL,4245,65,
Hernando,FL,10901,387,
Highlands,FL,7056,294,
Hillsborough,FL,108218,1447,
Holmes,FL,2158,42,
Indian River,FL,10701,253,
Jackson,FL,5852,146,
Jefferson,FL,1385,22,
Lafayette,FL,1573,24,
Lake,FL,23786,534,
Lee,FL,56276,864,
Leon,FL,28496,272,
Levy,FL,2799,31,
Liberty,FL,1035,14,
Madison,FL,1950,39,
Manatee,FL,30892,570,
Marion,FL,26832,722,
Martin,FL,10258,273,
Miami-dade,FL,399592,5270,
Monroe,FL,5657,44,
Nassau,FL,7547,107,
Okaloosa,FL,18211,319,
Okeechobee,FL,3485,69,
Orange,FL,111177,1068,
Osceola,FL,35849,417,
Palm Beach,FL,116683,2394,
Pasco,FL,32289,630,
Pinellas,FL,64466,1411,
Polk,FL,55473,1101,
Putnam,FL,5757,120,
Santa Rosa,FL,16696,250,
Sarasota,FL,26352,704,
Seminole,FL,26420,410,
St. Johns,FL,19727,184,
St. Lucie,FL,21407,526,
Sumter,FL,7714,226,
Suwannee,FL,5072,125,
Taylor,FL,2604,41,
Union,FL,1721,70,
Volusia,FL,33560,633,
Wakulla,FL,3132,51,
Walton,FL,6877,81,
Washington,FL,2590,41,
Appling,GA,2166,60,
Atkinson,GA,973,17,
Bacon,GA,1352,33,
Baker,GA,216,7,
Baldwin,GA,4207,106,
Banks,GA,1678,31,
Barrow,GA,8698,113,
Bartow,GA,12573,190,
Ben Hill,GA,2019,73,
Berrien,GA,1656,40,
Bibb,GA,14478,366,
Bleckley,GA,1413,48,
Brantley,GA,1494,27,
Brooks,GA,1257,43,
Bryan,GA,3085,31,
Bulloch,GA,6277,86,
Burke,GA,2340,51,
Butts,GA,2587,71,
Calhoun,GA,563,14,
Camden,GA,3616,30,
Candler,GA,900,54,
Carroll,GA,10332,198,
Catoosa,GA,5433,58,
Charlton,GA,1295,25,
Chatham,GA,20210,355,
Chattahoochee,GA,3029,11,
Chattooga,GA,2536,63,
Cherokee,GA,26558,250,
Clarke,GA,13888,109,
Clay,GA,228,3,
Clayton,GA,22489,370,
Clinch,GA,902,22,
Cobb,GA,68012,873,
Coffee,GA,5117,148,
Colquitt,GA,4315,93,
Columbia,GA,15399,184,
Cook,GA,1670,37,
Coweta,GA,12431,155,
Crawford,GA,613,15,
Crisp,GA,1900,58,
Dade,GA,1245,10,
Dawson,GA,2766,35,
DeKalb,GA,55610,785,
Decatur,GA,2702,63,
Dodge,GA,2078,94,
Dooly,GA,973,39,
Dougherty,GA,7001,272,
Douglas,GA,13052,175,
Early,GA,1109,44,
Echols,GA,449,6,
Effingham,GA,4058,56,
Elbert,GA,2197,57,
Emanuel,GA,2419,77,
Evans,GA,892,20,
Fannin,GA,2135,60,
Fayette,GA,7652,136,
Floyd,GA,10720,189,
Forsyth,GA,19460,144,
Franklin,GA,2511,42,
Fulton,GA,83234,1086,
Gilmer,GA,2737,69,
Glascock,GA,247,16,
Glynn,GA,7429,157,
Gordon,GA,7209,95,
Grady,GA,1977,54,
Greene,GA,1680,48,
Gwinnett,GA,89929,915,
Habersham,GA,4979,138,
Hall,GA,25266,386,
Hancock,GA,864,55,
Haralson,GA,2402,72,
Harris,GA,2268,45,
Hart,GA,2213,49,
Heard,GA,784,16,
Henry,GA,20890,255,
Houston,GA,13068,203,
Irwin,GA,884,25,
Jackson,GA,8880,126,
Jasper,GA,1261,30,
Jeff Davis,GA,1733,43,
Jefferson,GA,1835,54,
Jenkins,GA,802,38,
Johnson,GA,1093,47,
Jones,GA,1856,38,
Lamar,GA,1830,47,
Lanier,GA,730,11,
Laurens,GA,5339,154,
Lee,GA,2549,50,
Liberty,GA,3032,48,
Lincoln,GA,718,19,
Long,GA,780,12,
Lowndes,GA,11292,181,
Lumpkin,GA,2749,55,
Macon,GA,777,25,
Madison,GA,2982,44,
Marion,GA,506,15,
Mcduffie,GA,2241,42,
Mcintosh,GA,715,15,
Meriwether,GA,1815,51,
Miller,GA,757,8,
Mitchell,GA,1935,74,
Monroe,GA,2320,87,
Montgomery,GA,849,20,
Morgan,GA,1883,17,
Murray,GA,4428,68,
Muscogee,GA,14058,341,
Newton,GA,9094,191,
